"PC(22:4)",4092206.695,8044937.448,6090655.393,8435967.235,3125414.305,14400000,7660727.753,4372243.31,15100000,7871713.786,"PC(22:4)","PC"
"PC(26:2)",3843451.838,9913009.952,5202474.539,5359157.149,6695812.057,13600000,9514787.204,6652291.748,11900000,6058439.68,"PC(26:2e)","PC"
"PC(26:3)",6655733.158,5375791.723,6151955.731,2530846.547,3514381.026,14200000,14700000,14500000,5670056.662,7222089.822,"PC(16:0e_10:3)","PC"
"PC(30:3)",7709769.606,8931375.916,17700000,8682485.853,8871238.112,9578825.63,9236222.885,7113855.903,7464874.471,9010061.715,"PC(16:0_14:3)","PC"
"PC(30:4)",253115.434,2578627.622,7753589.247,1265577.17,253115.434,253115.434,3123698.596,253115.434,253115.434,253115.434,"PC(16:0_14:4)","PC"
"PC(32:4)",4224524.587,4266326.673,10200000,5049440.592,6567739.712,3171268.261,2267375.069,4257911.746,1902180.457,1425171.385,"PC(32:4)","PC"
"PC(32:6)",13500000,11300000,2146429.002,2909064.247,8674645.981,6281628.695,13500000,6704103.132,11300000,9512197.304,"PC(32:6e)","PC"
"PC(32:7)",17300000,20500000,8179850.716,19700000,24600000,19900000,27800000,39300000,26200000,26500000,"PC(32:7)","PC"
"PC(34:6)",5.87e+08,6.05e+08,5.55e+08,5.16e+08,5.33e+08,6.39e+08,6.1e+08,6.65e+08,7.57e+08,7.62e+08,"PC(22:4_12:2)","PC"
"PC(34:9)",3751001.977,3706089.875,4550282.177,3424620.982,3420797.27,2662973.093,1698378.921,4073483.18,3524594.52,5262466.34,"PC(22:6_12:3)","PC"
"PC(36:10)",28900000,2.5e+07,31200000,3.1e+07,25700000,26200000,23100000,29800000,23100000,22400000,"PC(22:6_14:4)","PC"
"PC(36:9)",57900000,31600000,41800000,45300000,61100000,37900000,39700000,40600000,42100000,47200000,"PC(22:6_14:3)","PC"
"PC(38:0)",1.5e+07,19100000,19400000,19700000,17400000,24600000,25300000,24600000,16400000,17700000,"PC(16:0_22:0)","PC"
"PC(40:10)",1.84e+08,3.43e+08,3.13e+08,2.89e+08,2.73e+08,1.29e+08,1.42e+08,1.29e+08,1.41e+08,2e+08,"PC(40:10)","PC"
"PC(42:1)",14800000,1.1e+07,13700000,14200000,10100000,19100000,15700000,18100000,12900000,14900000,"PC(18:1_24:0)","PC"
"PC(44:8)",1.42e+08,1.26e+08,1.56e+08,1.54e+08,1.35e+08,2.78e+08,2.71e+08,2.28e+08,2.52e+08,2.04e+08,"PC(44:8)","PC"
"PC(46:4)",598163.373,1306165.349,2297902.355,1034828.194,862469.818,2052121.957,2372060.665,3589927.108,1346136.007,2648272.849,"PC(26:0_20:4)","PC"
"PC(46:6)",1.03e+08,98200000,59500000,1.22e+08,70500000,3.03e+08,3.24e+08,1.96e+08,2.26e+08,2.08e+08,"PC(46:6)","PC"
"PC(50:5)",11700000,8723329.362,17600000,1.3e+07,16600000,17100000,15200000,14100000,15100000,13100000,"PC(30:1_20:4)","PC"
"PC(52:4)",8156069.1,5316639.318,9911392.673,8815863.2,8873277.833,8075426.222,6474389.74,1.3e+07,9482405.545,7527969.939,"PC(52:4)","PC"
"PC(52:5)",10600000,11800000,14600000,12900000,20700000,16600000,14400000,14800000,13100000,1.1e+07,"PC(32:1_20:4)","PC"
"PC(52:6)",21800000,17900000,31300000,20600000,29300000,2.5e+07,23900000,25700000,25800000,16200000,"PC(30:0_22:6)","PC"
"PC(52:7)",13100000,11700000,16400000,20400000,20300000,2.6e+07,2.7e+07,25100000,3e+07,23100000,"PC(30:1_22:6)","PC"
"PC(54:5)",5101736.884,4358706.569,4217223.642,5301195.005,10200000,5623353.863,7693942.883,7818088.435,7747709.412,5791785.956,"PC(32:1_22:4)","PC"
"PC(54:7)",18200000,17600000,1.9e+07,19200000,25900000,25700000,24900000,23700000,25100000,21600000,"PC(32:1_22:6)","PC"
"PE(16:1)",10100000,16900000,24300000,19500000,9966060.298,8657294.332,6099228.951,3194093.8,5142885.197,5017645.887,"PE(16:1e)","PE"
"PE(20:0)",10700000,8783678.957,8392017.989,13700000,5337416.093,10100000,7971738.043,8241161.561,7735505.782,6048261.69,"PE(20:0e)","PE"
"PE(20:1)",13500000,10900000,9853290.321,14300000,7237867.804,9332021.293,6110236.338,1998656.316,6811859.188,2585387.889,"PE(20:1e)","PE"
"PE(20:2)",4352919.942,7120435.967,4138672.414,6227434.348,2865795.36,3323611.661,2065516.509,1266201.651,1241857.237,622108.918,"PE(20:2e)","PE"
"PE(20:5)",19200000,31100000,3.2e+07,23800000,16200000,19400000,16800000,12500000,22600000,20700000,"PE(20:5e)","PE"
"PE(22:2)",415869.219,639588.763,60332.2736,373116.271,338933.24,60332.2736,559716.301,306679.409,60332.2736,741584.677,"PE(22:2e)","PE"
"PE(22:3)",36100000,35800000,33900000,36900000,34900000,32800000,30500000,40900000,38800000,38300000,"PE(22:3e)","PE"
"PE(22:4)",14900000,17700000,18800000,13200000,2e+07,31900000,23200000,29600000,33900000,2.1e+07,"PE(22:4e)","PE"
"PE(22:5)",7895367.243,8939809.424,11900000,5441545.863,9319014.41,9429290.162,10700000,12200000,5692379.624,8079744.302,"PE(22:5e)","PE"
"PE(26:4)",7278934.999,6468377.589,798689.9136,5072553.382,1.1e+07,6494230.485,12900000,17100000,9382162.119,9792352.105,"PE(16:0_10:4)","PE"
"PE(28:1)",10600000,7732026.244,14900000,7481901.178,4455720.958,1291495.087,11900000,6549077.742,3781765.901,5614894.511,"PE(28:1)","PE"
"PE(32:5)",1242779.129,876057.993,1709002.514,952828.888,873539.041,1077614.069,795927.382,785622.115,849413.944,567041.314,"PE(32:5e)","PE"
"PE(34:5)",1579211.194,3069126.114,869143.482,2282276.404,1096976.941,1462303.488,1607288.842,1451643.841,2123564.678,1844471.138,"PE(14:1e_20:4)","PE"
"PE(34:7)",5367125.527,2577701.915,3015087.12,2554665.706,2763771.183,1449542.976,1474147.802,1435441.017,926295.8352,2709842.079,"PE(12:1e_22:6)","PE"
"PE(34:8)",8629744.593,5331285.012,4309028.561,6062600.58,5594072.73,5582069.939,8195329.517,5248622.989,2151659.339,6385071.137,"PE(34:8e)","PE"
"PE(36:7)",13100000,11900000,20600000,1.4e+07,13100000,1.5e+07,13400000,11100000,12600000,11800000,"PE(14:1e_22:6)","PE"
"PE(40:1)",26300000,25600000,24200000,35100000,21100000,32400000,45100000,36400000,25600000,20400000,"PE(18:1_22:0)","PE"
"PE(42:11)",4459911.805,8683162.38,6873081.706,7521849.785,10300000,4729151.966,7260333.038,5935906.818,7766295.236,11100000,"PE(20:5_22:6)","PE"
"PE(42:3)",8464727.98,5327391.676,6318828.784,8600881.772,5087015.613,5206597.967,753298.667,6252211.459,5312841.506,4777258.944,"PE(22:0_20:3)","PE"
"PE(42:9)",98400000,1.13e+08,9.2e+07,1.25e+08,1.08e+08,1.17e+08,1.23e+08,96300000,89800000,1.05e+08,"PE(20:3_22:6)","PE"
"PE(44:11)",28700000,81600000,41800000,5.7e+07,62700000,66400000,64900000,55900000,68900000,86500000,"PE(22:5_22:6)","PE"
