Metabolite.name,Sample191,Sample197,Sample428,Sample433,Sample464,Sample270,Sample429,Sample430,Sample439
TG 52:6|TG 16:1_18:2_18:3,404206,1684552,8069380,2504838,283861,579890,2533833,780435,73825
TG 54:1|TG 16:0_20:0_18:1,1161309,23380876,15255561,9919499,14380750,2602102,5003992,680764,5556074
TG 54:4|TG 16:0_18:2_20:2,4200,34760,1745270,19255,29843,13250,36310,70563,57630
TG 54:4|TG 18:0_18:1_18:3,30923,238230,2660089,607655,84497,46595,95850,348292,23411
TG 54:4|TG 18:0_18:2_18:2,2494906,16755849,69228552,18551900,4135424,3831420,6651126,17701326,1414591
TG 54:5|TG 16:0_20:2_18:3,15925,6079,2558768,13721,386441,43102,66775,13774,13748
TG 54:5|TG 18:1_18:1_18:3,81638,361941,55381,120322,78743,15297,27446,235098,902035
TG 54:6|TG 16:0_16:0_22:6,189223,1274506,629688,2027666,222124,211811,706015,78005,118526
TG 54:6|TG 16:0_18:2_20:4,3327799,15904049,6461387,19136810,1545681,1517293,13431934,1695404,1242077
TG 54:7|TG 16:0_18:2_20:5,908856,3730111,342544,3917774,252865,332772,3502188,124179,1288284
TG 54:8|TG 14:0_20:3_20:5,4151,135996,252076,10723,1028,17792,29379,54882,78955
TG 54:9|TG 18:3_18:3_18:3,15601,45505,562167,45778,4064,43653,44210,23394,81110
TG 56:1|TG 16:0_22:0_18:1,64534,5228901,2975437,1015433,895272,458773,91531,41217,1515063
TG 56:10|TG 18:2_18:3_20:5,2296,6390,748998,38429,1871,24211,12526,68371,60751
TG 56:2|TG 16:0_16:1_24:1,21894,1092561,3407051,337238,89276,298795,181746,27127,244409
TG 56:4|TG 18:0_18:0_20:4,108914,393802,111907,326228,134051,51981,340343,31520,82253
TG 56:5|TG 16:0_18:1_22:4,833455,4696282,1927411,4675204,1948971,617328,4238178,802566,286205
TG 56:5|TG 18:0_18:0_20:5,47138,16414,3133794,13654,221018,35161,121774,71439,39795
TG 56:5|TG 18:0_18:1_20:4,587993,7753750,3523642,5984738,183192,717906,3921040,548065,139762
TG 56:6|TG 16:0_18:0_22:6,2828,580163,2746352,NA,4839,39,19319,75778,1425080
TG 56:6|TG 16:0_18:1_22:5,5851,7846856,66241,21388,344708,1465,119416,1513626,4629524
TG 56:7|TG 16:0_18:2_22:5,1882,265032,3921,12955,11448,4036,10386,8372,448599
TG 56:7|TG 18:0_18:2_20:5,14526,150367,29816380,170461,168597,122557,350505,29959,48936
TG 56:7|TG 18:0_20:2_18:5,8119,6811,9856629,64,9725,19720,69955,36287,115167
TG 56:7|TG 18:2_18:2_20:3,5390,1309977,17609754,47858,18663,51052,39405,180297,380977
TG 56:7|TG 18:2_20:2_18:3,33564,357208,1694077,34664,202309,67729,176901,111812,123390
TG 56:7|TG 20:1_18:3_18:3,9433,15881,11087404,55457,41316,132953,263239,62196,81009
TG 56:8|TG 16:0_16:2_24:6,NA,11876,978484,NA,NA,3032,NA,190,13172
TG 56:8|TG 16:0_20:3_20:5,4536,7633,28792904,4780,4953,45210,227548,37683,275997
TG 56:8|TG 18:0_18:3_20:5,2911,3276,4943196,971,14015,48973,78141,48356,216853
TG 56:8|TG 18:1_18:2_20:5,239844,3192106,153485,676019,115349,488901,583937,622459,622860
TG 56:8|TG 20:2_18:3_18:3,NA,21480,1534711,NA,NA,7573,15998,12581,39368
TG 56:9|TG 16:1_18:2_22:6,205060,441939,228880,604639,24249,31823,252376,172908,63502
TG 56:9|TG 18:1_18:3_20:5,2403,16032,1866418,10678,50384,13003,49946,31107,31443
TG 58:10|TG 18:2_18:2_22:6,51531,1055098,182711,1241772,95985,108335,1034916,22629,61259
TG 58:10|TG 18:2_20:4_20:4,199958,1090979,22262,1292378,114172,108983,974792,239123,384316
TG 58:10|TG 20:2_20:3_18:5,1795,10685,2592010,2984,15191,1976,14678,50406,106302
TG 58:11|TG 22:3_18:4_18:4,830,147485,574299,9183,701,18635,3673,5849,109217
TG 58:2|TG 18:0_20:1_20:1,8487,238380,19023,48237,665669,13644,80492,60123,655063
TG 58:2|TG 22:0_18:1_18:1,11300,14216251,517861,635497,375825,232702,114670,4718,3993920
TG 58:3|TG 18:1_18:1_22:1,63695,552953,1509962,734446,6821116,185727,253640,61151,120446
TG 58:3|TG 22:0_18:1_18:2,89081,2215885,1108375,247253,75767,121607,112805,39075,598795
TG 58:4|TG 18:1_20:1_20:2,39883,589643,203106,65541,1441688,162002,259217,361036,19444
TG 58:4|TG 18:1_22:1_18:2,58862,101251,904020,438941,225311,23669,24652,148491,10872
TG 58:4|TG 22:0_18:2_18:2,23595,452833,1330796,110583,42333,73475,62369,28952,185730
TG 58:5|TG 18:0_18:1_22:4,82846,471412,267535,270033,76634,100217,517666,49297,59401
TG 58:5|TG 18:1_18:1_22:3,112797,280753,1823687,385131,728446,158075,263277,271034,59496
TG 58:6|TG 16:0_18:1_24:5,157550,878838,48296,741633,64396,107617,631129,462143,94646
TG 58:6|TG 18:0_18:0_22:6,9210,13651,1582702,20203,225591,24903,42956,95394,46081
TG 58:6|TG 18:1_18:1_22:4,193559,281774,2104276,207291,349113,301814,686114,82786,88456
