"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COS7OADGAT1+2i_1","COS7OADGAT1+2i_2","COS7OADGAT1+2i_3","COSOADGAT1i_1","COSOADGAT1i_2","COSOADGAT1i_3","COSOADGAT2i_1","COSOADGAT2i_2","COSOADGAT2i_3"
"PE(19:1)",8800000,8400000,15100000,15400000,6150000,15700000,8450000,16100000,9150000,9450000,13900000,18300000
"PE(20:0)",39708847.3865,52526464.7285,50822410.65,51091728.911,27553299.3745,78041962.506,31824418.7925,68141831.4035,33135245.344,29667015.5465,47481383.5095,50085938.07
"PE(20:1)",124581626.2385,142629524.2945,200117104.5545,164253401.703,96407474.277,223448160.2285,126800217.4545,208125217.7545,137862968.3495,138353049.9735,224784463.6775,219465901.6865
"PE(20:2)",2.28e+08,2.42e+08,360500000,466500000,211500000,554500000,2.78e+08,5.56e+08,299500000,2.35e+08,4.03e+08,455500000
"PE(20:3)",214480043.97545,215531083.04735,329015304.5066,279154505.0645,136531999.5511,392120807.3527,187964872.48805,428840135.6812,195529673.4586,188096537.12145,325572763.78855,359314537.06215
"PE(20:4)",1940350831.0095,2104799459.04115,2926627704.16165,2743763718.55825,1543098304.224,3273955809.1277,2042199320.9625,3056492869.2135,2077246215.536,1841782503.525,3041374241.0875,3028048292.3895
"PE(20:5)",73955138.113,102263005.4375,126450000,88548935.123,69111765.1465,146317791.6215,119900000,112851576.088,114700000,83367234.7105,126250000,95334977.4075
"PE(21:0)",265147.79535,530678.1605,467867.654,388987.1725,291044.69865,413792.28,562920.7615,215410.519,223039.5485,230111.502,143331.9513,286939.0315
"PE(21:1)",1523647.0925,2404683.2695,3465763.1785,1153485.428,1285208.8525,2115888.27,2079737.6965,870264.316,1658006.4575,1142078.2495,1532468.182,1052721.9485
"PE(22:0)",1829511.5345,2777042.6115,3416422.82,825703.57705,857452.1447,2703273.079,1954941.52755,1005840.7879,2306945.9446,1171451.41965,2557713.18365,1257303.52485
